year,type,tm,lg,dv,w,l,t,pts,opp,1dr,1dp,1dpn,ra,ry,rtd,pa,pc,gpy,sk,sky,ptd,pi,pnt,pavg,pr,pry,prtd,kr,kry,krtd,ir,iry,irtd,pn,pny,fm,fl,xpa,xpm,fga,fgm,saf,2pa,2pm,3dm,3da,4dm,4da,posm,poss,1dr,1dp,1dpn,ra,ry,rtd,pa,pc,gpy,sk,sky,ptd,pi,pnt,pavg,pr,pry,prtd,kr,kry,krtd,ir,iry,irtd,pn,pny,fm,fl,xpa,xpm,fga,fgm,saf,2pa,2pm,3dm,3da,4dm,4da,posm,poss,blkpto,blkptd
2011,REG,Arz,NFC,W,8,8,0,312,348,83,175,28,389,1625,12,550,307,3954,54,387,21,23,92,45.0,46,696,4,52,1246,0,10,117,0,106,1004,24,9,33,33,24,19,0,2,0,66,205,9,15,28,11,118,174,41,475,1986,15,578,340,4000,42,304,17,10,92,44.4,50,610,1,52,1300,0,23,296,1,122,950,15,9,33,33,48,35,2,1,0,71,226,4,8,31,49,0,0
2011,REG,Atl,NFC,S,10,6,0,402,350,100,215,34,453,1834,14,594,365,4365,26,173,29,13,71,42.1,33,315,0,24,563,0,19,301,2,93,769,12,8,45,45,29,27,0,1,0,99,224,4,13,32,5,87,186,19,372,1552,10,560,340,4017,33,231,25,19,75,46.1,31,150,0,60,1487,0,13,178,2,101,843,19,10,37,37,28,23,1,3,1,93,211,6,11,27,55,1,0
2011,REG,Bal,AFC,N,12,4,0,378,266,98,181,33,459,1996,15,544,314,3629,33,206,21,12,73,46.5,36,345,1,42,1047,0,15,175,1,92,742,24,12,40,40,39,30,0,1,1,97,229,4,7,30,35,79,166,24,419,1482,10,535,288,3430,48,290,11,15,86,43.6,33,392,2,36,1050,1,12,159,1,103,1032,27,11,26,26,31,28,0,0,0,71,221,10,21,29,25,0,0
2011,REG,Buf,AFC,E,6,10,0,372,434,100,180,33,391,1921,12,578,356,3857,23,154,24,25,73,47.6,26,329,1,37,853,0,20,341,4,86,743,16,5,41,41,31,23,1,2,1,62,191,9,22,30,11,120,196,24,467,2224,19,507,321,3924,29,210,30,20,68,44.7,43,494,0,56,1144,0,25,327,3,85,871,21,11,52,51,25,21,0,1,1,75,189,9,13,29,49,1,0
2011,REG,Car,NFC,S,6,10,0,406,429,139,175,31,445,2408,26,519,312,4089,35,260,21,17,66,42.7,32,176,0,39,926,1,14,197,0,113,1013,13,6,45,44,28,22,2,3,2,75,185,6,10,30,16,110,191,28,451,2093,18,490,318,4119,31,170,28,14,52,43.2,35,466,3,30,811,0,17,229,1,98,901,20,10,48,48,31,27,0,2,0,83,194,4,12,29,44,0,0
2011,REG,Chi,NFC,N,8,8,0,353,341,97,153,21,456,2015,10,473,268,3346,49,335,18,20,89,43.9,30,470,2,57,1238,1,20,177,4,104,800,26,9,37,37,32,28,1,1,1,66,203,2,8,30,13,75,199,17,384,1542,10,631,383,4273,33,208,22,20,85,42.7,41,223,0,35,855,0,20,380,3,98,719,23,11,33,33,36,30,1,3,0,80,229,7,17,29,47,0,0
2011,REG,Cin,AFC,N,9,7,0,344,323,93,160,32,455,1778,10,535,308,3507,25,167,21,14,91,44.2,53,610,1,45,1026,0,10,137,1,99,874,17,8,34,33,38,33,1,1,0,80,219,4,10,30,19,94,170,20,425,1675,14,539,319,3662,45,277,21,10,98,46.6,38,273,1,44,916,0,14,159,1,101,878,26,12,35,35,27,22,0,2,0,78,220,4,11,29,41,0,0
2011,REG,Cle,AFC,N,4,12,0,218,307,77,173,28,415,1531,4,570,320,3300,39,210,16,13,89,40.1,38,423,1,48,1134,0,9,93,0,95,847,22,6,20,20,29,24,0,1,0,92,238,10,18,29,7,124,149,28,534,2359,12,469,265,3158,32,199,16,9,76,46.1,26,303,1,46,1055,1,13,241,1,90,726,20,11,31,31,34,30,0,0,0,95,230,6,14,30,53,0,0
2011,REG,Dal,NFC,E,8,8,0,369,347,91,219,17,408,1807,5,570,376,4453,39,252,33,12,71,42.9,41,293,0,33,768,0,15,217,1,114,816,24,9,39,39,37,32,0,0,0,78,198,5,10,30,55,78,199,28,385,1585,10,545,336,4149,42,243,24,15,72,47.5,30,278,0,52,1114,0,12,158,2,85,650,20,10,35,35,33,26,1,2,2,81,204,4,11,29,5,1,0
2011,REG,Den,AFC,W,8,8,0,309,390,129,130,27,546,2632,11,429,217,2708,42,274,20,13,101,47.4,47,596,2,39,956,0,9,152,3,101,842,30,17,30,30,25,19,0,6,3,66,214,3,13,28,51,101,182,32,488,2021,11,534,333,3987,41,283,24,9,92,47.3,51,585,1,20,491,0,13,276,3,99,845,19,9,40,40,39,32,1,2,0,73,218,3,9,31,9,0,0
2011,REG,Det,NFC,N,10,6,0,474,387,71,244,34,356,1523,9,666,423,5071,36,257,41,16,82,43.6,38,301,0,37,887,0,21,458,5,128,1075,20,7,54,54,29,24,1,3,2,76,212,8,14,30,6,91,195,39,410,2050,10,604,376,4102,41,271,26,21,78,45.3,36,484,1,49,1255,1,16,140,3,119,982,25,13,41,41,34,30,1,1,1,67,205,8,19,29,54,0,0
2011,REG,GB,NFC,N,15,1,0,560,359,89,230,34,395,1558,12,552,376,5161,41,237,51,8,55,45.6,27,295,1,41,1005,1,31,468,4,76,591,15,6,69,68,28,24,0,1,0,91,189,4,8,30,29,96,246,16,383,1789,10,637,390,4988,29,192,29,31,58,43.0,24,305,1,59,1378,0,8,63,0,122,948,19,7,35,35,27,22,2,6,4,83,195,4,16,29,31,0,0
2011,REG,Hou,AFC,S,10,6,0,381,278,131,176,14,546,2448,18,467,288,3696,33,190,20,9,74,44.0,51,529,1,29,730,0,17,196,1,99,852,20,11,40,39,38,32,0,1,0,93,224,3,11,32,40,73,166,31,378,1536,8,538,279,3322,44,287,18,17,83,46.9,32,307,0,46,1030,0,9,132,0,88,686,18,10,22,22,36,30,0,5,2,76,212,6,13,27,20,0,0
2011,REG,Ind,AFC,S,2,14,0,243,430,69,170,19,382,1594,8,534,302,3223,35,228,14,14,89,46.0,32,108,0,31,578,0,8,118,2,76,549,24,15,24,24,27,23,0,1,0,74,214,4,11,26,13,136,193,14,540,2303,19,493,351,3824,29,192,25,8,74,43.6,48,554,1,19,584,0,14,119,1,84,804,15,9,49,49,34,29,0,0,0,98,216,3,6,33,47,1,0
2011,REG,Jax,AFC,S,5,11,0,243,329,103,122,26,489,1970,9,469,240,2510,44,331,12,15,99,41.9,34,148,0,47,1055,0,17,160,0,77,680,27,8,24,24,25,23,0,1,0,81,241,6,17,30,2,73,175,20,435,1667,14,513,326,3554,31,213,21,17,89,43.3,48,333,0,26,632,0,15,177,0,105,895,21,11,36,35,29,22,2,1,1,79,218,4,9,29,58,0,1
2011,REG,KC,AFC,W,7,9,0,212,338,89,163,25,487,1893,5,500,299,3288,34,208,13,18,89,45.9,40,475,0,46,979,0,20,283,2,110,916,17,10,20,20,30,24,0,0,0,81,225,7,17,29,10,96,169,26,508,2112,14,454,257,3407,29,186,23,20,83,47.6,36,411,1,25,605,0,18,247,0,108,834,18,6,37,37,28,23,1,1,1,72,210,7,16,30,50,0,0
2011,REG,Mia,AFC,E,6,10,0,329,313,89,166,32,469,1987,11,469,280,3425,52,334,20,13,78,48.8,46,526,0,39,942,0,16,256,1,85,779,28,12,32,32,39,33,0,1,0,69,207,6,16,30,23,88,198,24,412,1530,8,590,350,4233,41,241,24,16,95,45.4,47,463,0,41,937,0,13,224,1,112,975,17,3,31,31,33,26,2,2,1,74,219,7,14,29,37,0,2
2011,REG,Min,NFC,N,3,13,0,340,449,118,159,20,448,2318,18,510,286,3255,49,298,20,17,77,45.7,33,277,0,53,1428,1,8,152,0,109,908,20,9,39,38,28,22,1,0,0,83,216,7,18,28,39,92,213,27,439,1712,10,538,367,4361,50,342,34,8,67,47.1,43,532,1,57,1403,1,17,213,3,97,834,26,15,49,49,35,32,1,1,1,92,208,5,9,31,21,0,0
2011,REG,NE,AFC,E,13,3,0,513,342,107,262,30,438,1764,18,612,402,5257,32,173,39,12,57,46.5,38,393,1,46,986,0,23,296,2,87,815,13,5,59,59,33,28,0,2,2,89,194,7,11,28,47,101,245,24,405,1874,13,619,386,4977,40,274,26,23,67,45.5,26,220,0,60,1294,0,12,186,1,115,907,21,11,38,38,23,20,2,2,0,87,202,8,19,31,13,0,0
2011,REG,NO,NFC,S,13,3,0,547,339,116,280,20,431,2127,16,662,472,5505,24,158,46,14,47,47.3,29,294,1,42,1111,0,9,80,1,99,851,6,5,63,63,34,28,0,3,2,118,208,3,10,31,46,92,196,38,351,1738,11,626,362,4413,33,256,24,9,71,44.3,19,118,0,36,927,1,14,162,1,109,912,20,7,37,36,32,27,0,0,0,67,202,6,22,28,14,1,0
2011,REG,NYG,NFC,E,9,7,0,394,400,84,216,31,411,1427,17,589,359,4933,28,199,29,16,82,45.7,28,171,0,52,1209,0,20,157,0,94,795,18,8,43,43,24,19,2,4,4,77,206,4,13,29,30,103,210,25,435,1940,15,589,361,4417,48,335,28,20,75,44.3,41,407,0,46,1053,0,16,291,3,110,933,21,11,45,45,31,25,1,1,1,84,220,10,18,30,30,0,0
2011,REG,NYJ,AFC,E,8,8,0,377,363,92,173,36,443,1692,14,547,310,3542,40,245,26,18,92,42.7,44,426,0,62,1633,1,19,378,2,102,849,25,16,44,44,25,19,3,1,0,74,213,4,11,30,49,83,167,22,451,1777,17,507,275,3414,35,198,15,19,92,45.0,32,241,0,61,1291,0,18,382,3,110,966,25,12,38,38,30,29,1,1,1,69,211,1,10,29,11,0,1
2011,REG,Oak,AFC,W,8,8,0,359,433,110,186,32,466,2110,16,524,315,4119,25,157,20,23,78,50.8,32,264,0,43,1011,1,18,252,0,163,1358,16,7,36,36,35,31,1,2,0,71,199,7,13,29,51,105,206,58,430,2178,15,601,324,4262,39,239,31,18,68,46.5,44,593,2,47,1210,1,23,234,3,120,982,13,8,53,52,29,21,0,0,0,92,219,4,14,30,9,0,0
2011,REG,Phi,NFC,E,8,8,0,396,328,134,197,25,450,2276,20,554,330,4276,32,166,22,25,67,42.2,30,212,0,39,815,0,15,192,1,107,853,23,13,46,46,27,24,1,0,0,85,205,7,15,31,20,84,173,32,414,1801,11,518,301,3713,50,316,27,15,85,43.2,31,176,0,51,1178,0,25,368,2,97,813,18,9,38,38,24,16,0,2,1,75,211,7,17,28,40,1,0
2011,REG,Pit,AFC,N,12,4,0,325,227,96,221,24,434,1903,13,539,341,4333,42,279,21,15,60,44.7,33,347,1,35,877,0,11,99,0,101,854,16,13,36,36,31,23,2,0,0,90,196,3,8,32,33,82,156,26,399,1597,7,530,289,2981,35,230,15,11,87,43.6,29,245,0,43,1018,0,15,201,0,96,777,13,4,21,21,27,22,0,2,1,86,221,8,13,27,27,1,0
2011,REG,SD,AFC,W,8,8,0,406,377,97,234,28,436,1864,16,582,366,4624,30,198,27,20,47,47.5,31,264,0,43,1100,1,17,260,1,91,753,20,8,45,44,35,28,0,1,1,103,211,4,11,31,39,102,186,23,448,1955,8,478,299,3778,32,187,29,17,60,47.0,25,329,0,57,1451,1,20,522,4,92,760,11,4,40,40,28,25,0,3,2,96,195,1,9,28,21,0,0
2011,REG,Sea,NFC,W,7,9,0,321,315,89,153,23,444,1756,15,509,299,3444,50,339,15,14,95,46.6,42,464,0,46,1142,0,22,462,4,138,1047,22,9,34,34,30,25,1,1,0,77,228,7,15,28,7,96,174,40,473,1797,10,543,324,3750,33,232,18,22,81,44.6,47,541,2,48,1249,1,14,187,1,96,907,18,9,32,31,37,28,0,1,1,77,221,7,11,31,53,0,2
2011,REG,SF,NFC,W,13,3,0,380,229,101,150,31,498,2044,14,451,277,3193,44,263,18,5,79,50.3,44,544,1,39,1060,1,23,284,1,113,1014,14,5,34,34,52,44,1,1,1,65,221,9,14,32,2,53,190,24,353,1236,3,579,333,3978,42,283,20,23,87,45.0,39,315,0,46,1061,0,5,51,0,98,867,31,15,21,21,27,22,1,2,1,76,216,7,17,27,58,1,0
2011,REG,SL,NFC,W,2,14,0,193,407,79,159,29,409,1667,7,549,292,3258,55,388,9,10,106,43.9,27,297,1,55,1280,0,12,169,1,112,899,27,13,18,18,28,21,1,0,0,64,228,8,23,28,7,122,166,25,510,2433,17,484,293,3562,39,261,21,12,81,44.9,45,552,2,36,902,0,10,40,0,111,951,24,6,44,44,37,31,0,0,0,83,216,5,8,31,53,1,1
2011,REG,TB,NFC,S,4,12,0,287,494,74,180,23,346,1458,9,588,365,3838,32,188,17,24,67,45.1,29,231,0,46,1024,0,14,195,3,123,1007,30,16,23,23,28,26,1,7,2,76,206,8,21,29,1,135,188,33,498,2497,26,481,301,3962,23,148,30,14,58,43.4,36,266,0,25,570,1,24,266,2,95,786,21,10,60,59,29,23,0,1,0,73,185,9,13,30,59,0,0
2011,REG,Ten,AFC,S,9,7,0,325,317,71,185,25,376,1438,8,584,353,4113,24,190,22,14,86,43.6,47,490,1,32,832,1,11,179,1,104,960,17,8,34,34,32,29,0,0,0,80,218,10,14,27,54,111,187,26,461,2053,10,591,369,3809,28,180,21,11,83,43.7,36,221,0,30,680,0,14,167,3,99,812,20,12,32,32,28,27,0,2,0,96,236,8,20,32,6,0,2
2011,REG,Was,NFC,E,5,11,0,288,367,79,204,29,400,1614,8,591,346,4058,41,285,19,24,66,43.1,37,328,0,56,1239,0,13,127,1,91,897,25,11,26,25,41,31,0,2,1,81,219,4,13,30,9,95,180,20,438,1884,15,509,308,3804,41,251,22,13,70,45.3,32,250,0,36,749,0,24,353,0,123,1006,26,8,38,37,41,34,0,0,0,77,206,4,10,29,51,0,0

